name,theta_true,theta_hat,abs_err,rel_err
thetaA_1,0.0003999999999999999,0.001167595454321838,0.000767595454321838,1.9189886310071238
thetaA_2,0.0003999999999999999,0.001167595454321838,0.000767595454321838,1.9189886310071238
thetaA_3,3.8560000000000003,1.8437622725985012,2.012237727401499,0.5218458836620791
thetaA_4,1.1901234567901233,1.0240421461279672,0.16608131066215615,0.13954964900024217
thetaA_5,6.0249999999999995,2.635608905902668,3.3893910940973315,0.5625545384392978
thetaA_6,1.1901234567901233,1.0240421461279672,0.16608131066215615,0.13954964900024217
thetaA_7,3.8560000000000003,1.8437622725985012,2.012237727401499,0.5218458836620791
thetaB_8,-0.08291415725294182,-0.12551815695223148,0.04260399969928966,0.5138326325720958
thetaB_9,0.08291415725294182,0.12551873468016167,0.04260457742721985,0.5138396003559981
thetaB_10,-0.8567796249470657,-0.28131059378403434,0.5754690311630314,0.6716651685057448
thetaB_11,0.8567796249470657,0.28131059378403434,0.5754690311630314,0.6716651685057448
